 ◦ 2022년 학교안전사고 발생건수(사고당시활동),,,,,,,,,,,,,,,,,,,
(단위 : 건),,,,,,,,,,,,,,,,,,,
지역,"학교
급별",구기운동,,보행/주행,,기타*,,장난/놀이,,기타운동,,식사/수면/휴식,,공부,,실험실습,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
세종,유,2,0.70%,31,10.90%,96,33.80%,130,45.80%,6,2.10%,11,3.90%,6,2.10%,2,0.70%,284,100.00%
세종,초,209,25.50%,133,16.20%,150,18.30%,174,21.20%,60,7.30%,50,6.10%,27,3.30%,17,2.10%,820,100.00%
세종,중,291,43.80%,81,12.20%,130,19.50%,86,12.90%,24,3.60%,26,3.90%,7,1.10%,20,3.00%,665,100.00%
세종,고,111,48.90%,27,11.90%,49,21.60%,7,3.10%,6,2.60%,7,3.10%,4,1.80%,16,7.00%,227,100.00%
세종,특수,  ,0.00%,1,16.70%,2,33.30%,  ,0.00%,  ,0.00%,2,33.30%,1,16.70%,  ,0.00%,6,100.00%
세종,기타,  ,0.00%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
세종,소계,613,30.60%,273,13.60%,427,21.30%,397,19.80%,96,4.80%,96,4.80%,45,2.20%,55,2.70%,"2,002",100.00%
경기,유,32,1.50%,361,16.40%,665,30.10%,788,35.70%,59,2.70%,158,7.20%,130,5.90%,13,0.60%,"2,206",100.00%
경기,초,"3,881",23.90%,"3,713",22.90%,"2,418",14.90%,"3,016",18.60%,"1,307",8.00%,965,5.90%,646,4.00%,303,1.90%,"16,249",100.00%
경기,중,"10,487",51.70%,"2,729",13.40%,"2,768",13.60%,"2,076",10.20%,935,4.60%,789,3.90%,221,1.10%,288,1.40%,"20,293",100.00%
경기,고,"5,497",58.40%,"1,150",12.20%,"1,237",13.10%,397,4.20%,510,5.40%,274,2.90%,89,0.90%,254,2.70%,"9,408",100.00%
경기,특수,3,2.60%,23,20.20%,41,36.00%,9,7.90%,5,4.40%,13,11.40%,10,8.80%,10,8.80%,114,100.00%
경기,기타,45,45.00%,25,25.00%,14,14.00%,2,2.00%,3,3.00%,6,6.00%,1,1.00%,4,4.00%,100,100.00%
경기,소계,"19,945",41.20%,"8,001",16.50%,"7,143",14.80%,"6,288",13.00%,"2,819",5.80%,"2,205",4.60%,"1,097",2.30%,872,1.80%,"48,370",100.00%
강원,유,5,1.90%,43,16.20%,78,29.40%,107,40.40%,4,1.50%,22,8.30%,5,1.90%,1,0.40%,265,100.00%
강원,초,541,25.90%,360,17.20%,333,15.90%,502,24.00%,167,8.00%,92,4.40%,58,2.80%,38,1.80%,"2,091",100.00%
강원,중,889,53.30%,166,10.00%,266,16.00%,154,9.20%,96,5.80%,58,3.50%,11,0.70%,27,1.60%,"1,667",100.00%
강원,고,604,61.30%,76,7.70%,134,13.60%,41,4.20%,64,6.50%,29,2.90%,7,0.70%,30,3.00%,985,100.00%
강원,특수,1,10.00%,1,10.00%,4,40.00%,1,10.00%,1,10.00%,2,20.00%,  ,0.00%,  ,0.00%,10,100.00%
강원,기타,1,0.00%,  ,  ,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3,0.00%
강원,소계,"2,041",40.60%,646,12.90%,817,16.30%,805,16.00%,332,6.60%,203,4.00%,81,1.60%,96,1.90%,"5,021",100.00%
충북,유,3,1.30%,16,6.70%,106,44.40%,90,37.70%,3,1.30%,11,4.60%,8,3.30%,2,0.80%,239,100.00%
충북,초,382,25.90%,306,20.70%,213,14.40%,283,19.20%,126,8.50%,102,6.90%,38,2.60%,25,1.70%,"1,475",100.00%
충북,중,766,52.70%,187,12.90%,173,11.90%,142,9.80%,88,6.10%,57,3.90%,20,1.40%,20,1.40%,"1,453",100.00%
충북,고,366,52.10%,95,13.50%,94,13.40%,27,3.80%,67,9.50%,20,2.80%,6,0.90%,28,4.00%,703,100.00%
충북,특수,2,6.90%,7,24.10%,6,20.70%,1,3.40%,4,13.80%,3,10.30%,3,10.30%,3,10.30%,29,100.00%
충북,기타,5,45.50%,  ,0.00%,  ,0.00%,  ,0.00%,5,45.50%,1,9.10%,  ,0.00%,  ,0.00%,11,100.00%
충북,소계,"1,524",39.00%,611,15.60%,592,15.10%,543,13.90%,293,7.50%,194,5.00%,75,1.90%,78,2.00%,"3,910",100.00%
충남,유,5,1.30%,45,12.10%,107,28.80%,164,44.20%,4,1.10%,28,7.50%,17,4.60%,1,0.30%,371,100.00%
충남,초,579,25.60%,404,17.80%,372,16.40%,505,22.30%,179,7.90%,121,5.30%,62,2.70%,43,1.90%,"2,265",100.00%
충남,중,967,50.70%,220,11.50%,321,16.80%,200,10.50%,91,4.80%,67,3.50%,22,1.20%,20,1.00%,"1,908",100.00%
충남,고,601,51.10%,126,10.70%,191,16.30%,51,4.30%,90,7.70%,56,4.80%,13,1.10%,47,4.00%,"1,175",100.00%
충남,특수,1,3.60%,6,21.40%,7,25.00%,2,7.10%,2,7.10%,7,25.00%,1,3.60%,2,7.10%,28,100.00%
충남,기타,2,50.00%,1,25.00%,  ,0.00%,  ,0.00%,  ,0.00%,1,25.00%,  ,0.00%,  ,0.00%,4,100.00%
충남,소계,"2,155",37.50%,802,13.90%,998,17.40%,922,16.00%,366,6.40%,280,4.90%,115,2.00%,113,2.00%,"5,751",100.00%
전북,유,11,2.70%,52,12.60%,136,32.90%,168,40.60%,11,2.70%,26,6.30%,8,1.90%,2,0.50%,414,100.00%
전북,초,503,24.70%,440,21.60%,290,14.20%,470,23.10%,131,6.40%,107,5.30%,52,2.60%,45,2.20%,"2,038",100.00%
전북,중,906,53.20%,204,12.00%,219,12.90%,185,10.90%,90,5.30%,55,3.20%,24,1.40%,20,1.20%,"1,703",100.00%
전북,고,603,53.60%,156,13.90%,174,15.50%,35,3.10%,60,5.30%,46,4.10%,11,1.00%,39,3.50%,"1,124",100.00%
전북,특수,  ,0.00%,4,23.50%,4,23.50%,3,17.60%,  ,0.00%,4,23.50%,1,5.90%,1,5.90%,17,100.00%
전북,기타,  ,0.00%,3,42.90%,2,28.60%,  ,0.00%,1,14.30%,  ,0.00%,1,14.30%,  ,0.00%,7,100.00%
전북,소계,"2,023",38.10%,859,16.20%,825,15.60%,861,16.20%,293,5.50%,238,4.50%,97,1.80%,107,2.00%,"5,303",100.00%
전남,유,4,2.50%,25,15.40%,37,22.80%,68,42.00%,6,3.70%,13,8.00%,4,2.50%,5,3.10%,162,100.00%
전남,초,308,24.30%,242,19.10%,206,16.30%,269,21.20%,117,9.20%,71,5.60%,28,2.20%,25,2.00%,"1,266",100.00%
전남,중,565,52.10%,132,12.20%,165,15.20%,88,8.10%,71,6.50%,45,4.10%,10,0.90%,9,0.80%,"1,085",100.00%
전남,고,407,58.70%,85,12.30%,89,12.80%,20,2.90%,38,5.50%,25,3.60%,6,0.90%,23,3.30%,693,100.00%
전남,특수,  ,0.00%,1,33.30%,1,33.30%,  ,0.00%,  ,0.00%,1,33.30%,  ,0.00%,  ,0.00%,3,100.00%
전남,기타,2,40.00%,  ,0.00%,  ,0.00%,2,40.00%,  ,0.00%,  ,0.00%,1,20.00%,  ,0.00%,5,100.00%
전남,소계,"1,286",40.00%,485,15.10%,498,15.50%,447,13.90%,232,7.20%,155,4.80%,49,1.50%,62,1.90%,"3,214",100.00%
경북,유,10,2.50%,59,14.70%,80,19.90%,187,46.50%,14,3.50%,33,8.20%,17,4.20%,2,0.50%,402,100.00%
경북,초,537,26.20%,430,21.00%,280,13.70%,439,21.40%,172,8.40%,97,4.70%,56,2.70%,37,1.80%,"2,048",100.00%
경북,중,990,54.90%,209,11.60%,234,13.00%,165,9.10%,111,6.20%,56,3.10%,19,1.10%,20,1.10%,"1,804",100.00%
