 ◦ 2021년 학교안전사고 발생현황(사고당시행동),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",구기운동,,기타*,,보행/주행,,장난/놀이,,기타운동,,식사/수면/휴식,,공부,,실험실습,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
울산,특수,1,9.10%,6,54.50%,3,27.30%,  ,0.00%,  ,0.00%,1,9.10%,  ,0.00%,  ,0.00%,11,100.00%
울산,기타,  ,0.00%,1,100.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,1,100.00%
울산,소계,944,36.10%,426,16.30%,454,17.40%,378,14.50%,148,5.70%,131,5.00%,66,2.50%,66,2.50%,"2,613",100.00%
세종,유,5,1.40%,122,34.90%,34,9.70%,166,47.40%,8,2.30%,12,3.40%,3,0.90%,  ,0.00%,350,100.00%
세종,초,155,26.00%,113,18.90%,100,16.80%,114,19.10%,61,10.20%,27,4.50%,16,2.70%,11,1.80%,597,100.00%
세종,중,310,55.30%,87,15.50%,57,10.20%,51,9.10%,17,3.00%,16,2.90%,5,0.90%,18,3.20%,561,100.00%
세종,고,89,43.60%,55,27.00%,20,9.80%,9,4.40%,12,5.90%,1,0.50%,4,2.00%,14,6.90%,204,100.00%
세종,특수,  ,0.00%,5,71.40%,  ,0.00%,1,14.30%,  ,0.00%,  ,0.00%,1,14.30%,  ,0.00%,7,100.00%
세종,기타,  ,0.00%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.00%
세종,소계,559,32.50%,382,22.20%,211,12.30%,341,19.80%,98,5.70%,56,3.30%,29,1.70%,43,2.50%,"1,719",100.00%
경기,유,32,1.50%,652,30.10%,324,15.00%,801,37.00%,52,2.40%,168,7.80%,126,5.80%,8,0.40%,"2,163",100.00%
경기,초,"1,536",22.60%,"1,338",19.70%,"1,567",23.10%,821,12.10%,668,9.80%,394,5.80%,337,5.00%,122,1.80%,"6,783",100.00%
경기,중,"4,520",52.30%,"1,207",14.00%,"1,209",14.00%,756,8.80%,460,5.30%,274,3.20%,58,0.70%,153,1.80%,"8,637",100.00%
경기,고,"2,846",57.20%,589,11.80%,666,13.40%,177,3.60%,245,4.90%,190,3.80%,43,0.90%,220,4.40%,"4,976",100.00%
경기,특수,5,5.00%,31,31.00%,26,26.00%,11,11.00%,5,5.00%,8,8.00%,6,6.00%,8,8.00%,100,100.00%
경기,기타,18,36.70%,9,18.40%,6,12.20%,4,8.20%,5,10.20%,6,12.20%,1,2.00%,  ,0.00%,49,100.00%
경기,소계,"8,957",39.40%,"3,826",16.80%,"3,798",16.70%,"2,570",11.30%,"1,435",6.30%,"1,040",4.60%,571,2.50%,511,2.30%,"22,708",100.00%
강원,유,4,1.90%,67,31.60%,32,15.10%,81,38.20%,9,4.20%,14,6.60%,4,1.90%,1,0.50%,212,100.00%
강원,초,427,25.00%,305,17.90%,302,17.70%,362,21.20%,154,9.00%,83,4.90%,43,2.50%,31,1.80%,"1,707",100.00%
강원,중,788,56.40%,208,14.90%,145,10.40%,117,8.40%,75,5.40%,36,2.60%,10,0.70%,18,1.30%,"1,397",100.00%
강원,고,517,58.60%,114,12.90%,87,9.90%,30,3.40%,72,8.20%,25,2.80%,14,1.60%,24,2.70%,883,100.00%
강원,특수,  ,0.00%,3,27.30%,4,36.40%,1,9.10%,  ,0.00%,  ,0.00%,2,18.20%,1,9.10%,11,100.00%
강원,기타,  ,0.00%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.00%
강원,소계,"1,736",41.20%,697,16.60%,570,13.50%,591,14.00%,310,7.40%,158,3.80%,73,1.70%,75,1.80%,"4,210",100.00%
충북,유,4,1.80%,82,36.90%,27,12.20%,88,39.60%,2,0.90%,14,6.30%,5,2.30%,  ,0.00%,222,100.00%
충북,초,314,28.20%,204,18.30%,199,17.90%,168,15.10%,106,9.50%,60,5.40%,43,3.90%,18,1.60%,"1,112",100.00%
충북,중,686,57.10%,176,14.60%,128,10.60%,95,7.90%,54,4.50%,35,2.90%,13,1.10%,15,1.20%,"1,202",100.00%
충북,고,293,49.20%,73,12.20%,97,16.30%,24,4.00%,45,7.60%,26,4.40%,12,2.00%,26,4.40%,596,100.00%
충북,특수,  ,0.00%,8,42.10%,2,10.50%,  ,0.00%,  ,0.00%,4,21.10%,4,21.10%,1,5.30%,19,100.00%
충북,기타,3,25.00%,  ,0.00%,2,16.70%,  ,0.00%,6,50.00%,  ,0.00%,  ,0.00%,1,8.30%,12,100.00%
충북,소계,"1,300",41.10%,543,17.20%,455,14.40%,375,11.90%,213,6.70%,139,4.40%,77,2.40%,61,1.90%,"3,163",100.00%
충남,유,4,1.00%,141,35.30%,46,11.50%,154,38.60%,7,1.80%,23,5.80%,21,5.30%,3,0.80%,399,100.00%
충남,초,407,26.30%,264,17.10%,315,20.40%,262,16.90%,157,10.20%,86,5.60%,31,2.00%,24,1.60%,"1,546",100.00%
충남,중,807,53.60%,229,15.20%,171,11.30%,140,9.30%,64,4.20%,65,4.30%,14,0.90%,17,1.10%,"1,507",100.00%
충남,고,444,53.20%,117,14.00%,101,12.10%,19,2.30%,63,7.60%,36,4.30%,11,1.30%,43,5.20%,834,100.00%
충남,특수,  ,0.00%,11,44.00%,6,24.00%,1,4.00%,3,12.00%,1,4.00%,3,12.00%,  ,0.00%,25,100.00%
충남,기타,7,70.00%,2,20.00%,  ,0.00%,1,10.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,10,100.00%
충남,소계,"1,669",38.60%,764,17.70%,639,14.80%,577,13.40%,294,6.80%,211,4.90%,80,1.90%,87,2.00%,"4,321",100.00%
전북,유,2,0.60%,119,35.60%,44,13.20%,133,39.80%,5,1.50%,23,6.90%,8,2.40%,  ,0.00%,334,100.00%
전북,초,450,25.40%,289,16.30%,381,21.50%,349,19.70%,106,6.00%,111,6.30%,49,2.80%,37,2.10%,"1,772",100.00%
전북,중,653,50.80%,179,13.90%,190,14.80%,134,10.40%,50,3.90%,56,4.40%,12,0.90%,12,0.90%,"1,286",100.00%
전북,고,588,53.80%,128,11.70%,144,13.20%,40,3.70%,85,7.80%,34,3.10%,13,1.20%,60,5.50%,"1,092",100.00%
전북,특수,2,13.30%,2,13.30%,5,33.30%,  ,0.00%,1,6.70%,1,6.70%,2,13.30%,2,13.30%,15,100.00%
전북,기타,  ,0.00%,3,50.00%,1,16.70%,  ,0.00%,  ,0.00%,  ,0.00%,1,16.70%,1,16.70%,6,100.00%
전북,소계,"1,695",37.60%,720,16.00%,765,17.00%,656,14.60%,247,5.50%,225,5.00%,85,1.90%,112,2.50%,"4,505",100.00%
전남,유,1,0.50%,74,37.60%,20,10.20%,65,33.00%,4,2.00%,21,10.70%,11,5.60%,1,0.50%,197,100.00%
전남,초,229,22.40%,169,16.50%,187,18.30%,209,20.50%,110,10.80%,62,6.10%,39,3.80%,17,1.70%,"1,022",100.00%
전남,중,521,53.20%,140,14.30%,129,13.20%,81,8.30%,55,5.60%,35,3.60%,7,0.70%,11,1.10%,979,100.00%
전남,고,316,54.50%,79,13.60%,77,13.30%,24,4.10%,28,4.80%,24,4.10%,7,1.20%,25,4.30%,580,100.00%
