 ◦ 2021년 학교안전사고 발생현황(시간),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",체육수업,,점심시간,,수업시간,,휴식/청소,,등하교,,특별활동,,기타,,학교행사,,기숙사생활,,석식시간,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
울산,유,30,12.50%,14,5.80%,127,52.90%,19,7.90%,17,7.10%,  ,0.00%,31,12.90%,2,0.80%,  ,0.00%,  ,0.00%,240,100.00%
울산,초,324,33.40%,201,20.70%,144,14.80%,130,13.40%,89,9.20%,17,1.80%,35,3.60%,30,3.10%,  ,0.00%,  ,0.00%,970,100.00%
울산,중,417,45.20%,195,21.10%,56,6.10%,124,13.40%,30,3.30%,68,7.40%,14,1.50%,17,1.80%,  ,0.00%,1,0.10%,922,100.00%
울산,고,199,42.40%,86,18.30%,39,8.30%,50,10.70%,25,5.30%,18,3.80%,9,1.90%,33,7.00%,4,0.90%,6,1.30%,469,100.00%
울산,특수,1,9.10%,3,27.30%,5,45.50%,1,9.10%,1,9.10%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,11,100.00%
울산,기타,  ,0.00%,  ,0.00%,  ,0.00%,1,100.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,1,100.00%
울산,소계,971,37.20%,499,19.10%,371,14.20%,325,12.40%,162,6.20%,103,3.90%,89,3.40%,82,3.10%,4,0.20%,7,0.30%,"2,613",100.00%
세종,유,33,9.40%,23,6.60%,175,50.00%,10,2.90%,11,3.10%,  ,0.00%,94,26.90%,4,1.10%,  ,0.00%,  ,0.00%,350,100.00%
세종,초,248,41.50%,108,18.10%,98,16.40%,44,7.40%,60,10.10%,9,1.50%,18,3.00%,12,2.00%,  ,0.00%,  ,0.00%,597,100.00%
세종,중,283,50.40%,91,16.20%,56,10.00%,55,9.80%,18,3.20%,33,5.90%,7,1.20%,18,3.20%,  ,0.00%,  ,0.00%,561,100.00%
세종,고,96,47.10%,27,13.20%,28,13.70%,16,7.80%,10,4.90%,7,3.40%,10,4.90%,9,4.40%,  ,0.00%,1,0.50%,204,100.00%
세종,특수,  ,0.00%,2,28.60%,4,57.10%,  ,0.00%,  ,0.00%,  ,0.00%,1,14.30%,  ,0.00%,  ,0.00%,  ,0.00%,7,100.00%
세종,기타,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.00%
세종,소계,660,38.40%,251,14.60%,361,21.00%,125,7.30%,99,5.80%,49,2.90%,130,7.60%,43,2.50%,  ,0.00%,1,0.10%,"1,719",100.00%
경기,유,239,11.00%,163,7.50%,"1,115",51.50%,135,6.20%,140,6.50%,  ,0.00%,344,15.90%,27,1.20%,  ,0.00%,  ,0.00%,"2,163",100.00%
경기,초,"2,821",41.60%,"1,018",15.00%,"1,107",16.30%,848,12.50%,652,9.60%,91,1.30%,183,2.70%,63,0.90%,  ,0.00%,  ,0.00%,"6,783",100.00%
경기,중,"4,456",51.60%,"1,345",15.60%,559,6.50%,"1,038",12.00%,287,3.30%,552,6.40%,164,1.90%,233,2.70%,3,0.00%,  ,0.00%,"8,637",100.00%
경기,고,"2,413",48.50%,880,17.70%,400,8.00%,462,9.30%,204,4.10%,239,4.80%,86,1.70%,168,3.40%,64,1.30%,60,1.20%,"4,976",100.00%
