 ◦ 2021년 학교안전사고 발생현황(부위),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",손,,발,,머리(두부),,복합부위*,,다리,,팔,,치아(구강),,기타*,,흉복부,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
울산,특수,1,9.10%,2,18.20%,2,18.20%,2,18.20%,2,18.20%,1,9.10%,1,9.10%,  ,0.00%,  ,0.00%,11,100.00%
울산,기타,  ,0.00%,  ,0.00%,  ,0.00%,1,100.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,1,100.00%
울산,소계,688,26.30%,714,27.30%,377,14.40%,306,11.70%,212,8.10%,134,5.10%,72,2.80%,67,2.60%,43,1.60%,"2,613",100.00%
세종,유,48,13.70%,54,15.40%,120,34.30%,32,9.10%,9,2.60%,26,7.40%,31,8.90%,29,8.30%,1,0.30%,350,100.00%
세종,초,130,21.80%,185,31.00%,108,18.10%,83,13.90%,34,5.70%,26,4.40%,7,1.20%,15,2.50%,9,1.50%,597,100.00%
세종,중,177,31.60%,131,23.40%,84,15.00%,72,12.80%,41,7.30%,30,5.30%,6,1.10%,10,1.80%,10,1.80%,561,100.00%
세종,고,57,27.90%,59,28.90%,20,9.80%,30,14.70%,18,8.80%,5,2.50%,4,2.00%,7,3.40%,4,2.00%,204,100.00%
세종,특수,  ,0.00%,1,14.30%,2,28.60%,2,28.60%,  ,0.00%,  ,0.00%,  ,0.00%,2,28.60%,  ,0.00%,7,100.00%
세종,기타,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.00%
세종,소계,412,24.00%,430,25.00%,334,19.40%,219,12.70%,102,5.90%,87,5.10%,48,2.80%,63,3.70%,24,1.40%,"1,719",100.00%
경기,유,290,13.40%,242,11.20%,807,37.30%,197,9.10%,51,2.40%,168,7.80%,248,11.50%,145,6.70%,15,0.70%,"2,163",100.00%
경기,초,"1,829",27.00%,"1,648",24.30%,"1,105",16.30%,887,13.10%,398,5.90%,330,4.90%,283,4.20%,209,3.10%,94,1.40%,"6,783",100.00%
경기,중,"2,912",33.70%,"2,395",27.70%,872,10.10%,884,10.20%,687,8.00%,423,4.90%,81,0.90%,218,2.50%,165,1.90%,"8,637",100.00%
경기,고,"1,296",26.00%,"1,715",34.50%,436,8.80%,568,11.40%,459,9.20%,212,4.30%,68,1.40%,118,2.40%,104,2.10%,"4,976",100.00%
경기,특수,16,16.00%,26,26.00%,11,11.00%,20,20.00%,4,4.00%,6,6.00%,6,6.00%,11,11.00%,  ,0.00%,100,100.00%
경기,기타,12,24.50%,15,30.60%,5,10.20%,9,18.40%,2,4.10%,3,6.10%,1,2.00%,1,2.00%,1,2.00%,49,100.00%
경기,소계,"6,355",28.00%,"6,041",26.60%,"3,236",14.30%,"2,565",11.30%,"1,601",7.10%,"1,142",5.00%,687,3.00%,702,3.10%,379,1.70%,"22,708",100.00%
강원,유,27,12.70%,35,16.50%,66,31.10%,18,8.50%,5,2.40%,24,11.30%,19,9.00%,16,7.50%,2,0.90%,212,100.00%
강원,초,463,27.10%,463,27.10%,248,14.50%,201,11.80%,94,5.50%,114,6.70%,60,3.50%,37,2.20%,27,1.60%,"1,707",100.00%
강원,중,500,35.80%,355,25.40%,126,9.00%,133,9.50%,115,8.20%,91,6.50%,16,1.10%,35,2.50%,26,1.90%,"1,397",100.00%
강원,고,199,22.50%,314,35.60%,57,6.50%,116,13.10%,96,10.90%,39,4.40%,22,2.50%,18,2.00%,22,2.50%,883,100.00%
강원,특수,  ,0.00%,3,27.30%,  ,0.00%,6,54.50%,  ,0.00%,  ,0.00%,2,18.20%,  ,0.00%,  ,0.00%,11,100.00%
강원,기타,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.00%
강원,소계,"1,189",28.20%,"1,170",27.80%,497,11.80%,474,11.30%,310,7.40%,268,6.40%,119,2.80%,106,2.50%,77,1.80%,"4,210",100.00%
충북,유,31,14.00%,39,17.60%,61,27.50%,26,11.70%,2,0.90%,19,8.60%,25,11.30%,18,8.10%,1,0.50%,222,100.00%
충북,초,303,27.20%,294,26.40%,165,14.80%,134,12.10%,59,5.30%,71,6.40%,45,4.00%,27,2.40%,14,1.30%,"1,112",100.00%
충북,중,443,36.90%,301,25.00%,109,9.10%,123,10.20%,92,7.70%,75,6.20%,23,1.90%,23,1.90%,13,1.10%,"1,202",100.00%
충북,고,140,23.50%,189,31.70%,61,10.20%,58,9.70%,73,12.20%,29,4.90%,16,2.70%,14,2.30%,16,2.70%,596,100.00%
충북,특수,3,15.80%,2,10.50%,6,31.60%,3,15.80%,1,5.30%,  ,0.00%,3,15.80%,1,5.30%,  ,0.00%,19,100.00%
충북,기타,2,16.70%,5,41.70%,  ,0.00%,2,16.70%,2,16.70%,1,8.30%,  ,0.00%,  ,0.00%,  ,0.00%,12,100.00%
충북,소계,922,29.10%,830,26.20%,402,12.70%,346,10.90%,229,7.20%,195,6.20%,112,3.50%,83,2.60%,44,1.40%,"3,163",100.00%
충남,유,50,12.50%,48,12.00%,166,41.60%,34,8.50%,6,1.50%,38,9.50%,30,7.50%,21,5.30%,6,1.50%,399,100.00%
충남,초,375,24.30%,371,24.00%,264,17.10%,201,13.00%,90,5.80%,117,7.60%,55,3.60%,42,2.70%,31,2.00%,"1,546",100.00%
충남,중,515,34.20%,407,27.00%,155,10.30%,130,8.60%,129,8.60%,77,5.10%,21,1.40%,45,3.00%,28,1.90%,"1,507",100.00%
충남,고,207,24.80%,279,33.50%,75,9.00%,106,12.70%,93,11.20%,28,3.40%,11,1.30%,18,2.20%,17,2.00%,834,100.00%
충남,특수,3,12.00%,4,16.00%,4,16.00%,8,32.00%,1,4.00%,2,8.00%,1,4.00%,1,4.00%,1,4.00%,25,100.00%
충남,기타,1,10.00%,4,40.00%,2,20.00%,1,10.00%,1,10.00%,  ,0.00%,  ,0.00%,  ,0.00%,1,10.00%,10,100.00%
충남,소계,"1,151",26.60%,"1,113",25.80%,666,15.40%,480,11.10%,320,7.40%,262,6.10%,118,2.70%,127,2.90%,84,1.90%,"4,321",100.00%
전북,유,51,15.30%,42,12.60%,134,40.10%,30,9.00%,5,1.50%,21,6.30%,20,6.00%,27,8.10%,4,1.20%,334,100.00%
전북,초,463,26.10%,440,24.80%,275,15.50%,239,13.50%,94,5.30%,95,5.40%,95,5.40%,47,2.70%,24,1.40%,"1,772",100.00%
전북,중,388,30.20%,357,27.80%,131,10.20%,140,10.90%,121,9.40%,59,4.60%,18,1.40%,45,3.50%,27,2.10%,"1,286",100.00%
전북,고,209,19.10%,416,38.10%,83,7.60%,128,11.70%,125,11.40%,58,5.30%,18,1.60%,29,2.70%,26,2.40%,"1,092",100.00%
전북,특수,1,6.70%,5,33.30%,2,13.30%,4,26.70%,1,6.70%,1,6.70%,  ,0.00%,1,6.70%,  ,0.00%,15,100.00%
전북,기타,  ,0.00%,2,33.30%,1,16.70%,1,16.70%,2,33.30%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,6,100.00%
전북,소계,"1,112",24.70%,"1,262",28.00%,626,13.90%,542,12.00%,348,7.70%,234,5.20%,151,3.40%,149,3.30%,81,1.80%,"4,505",100.00%
전남,유,23,11.70%,18,9.10%,71,36.00%,19,9.60%,4,2.00%,28,14.20%,12,6.10%,18,9.10%,4,2.00%,197,100.00%
전남,초,264,25.80%,255,25.00%,146,14.30%,111,10.90%,54,5.30%,95,9.30%,49,4.80%,38,3.70%,10,1.00%,"1,022",100.00%
전남,중,312,31.90%,304,31.10%,68,6.90%,78,8.00%,100,10.20%,60,6.10%,15,1.50%,28,2.90%,14,1.40%,979,100.00%
전남,고,107,18.40%,232,40.00%,35,6.00%,65,11.20%,74,12.80%,25,4.30%,14,2.40%,18,3.10%,10,1.70%,580,100.00%
전남,특수,2,22.20%,3,33.30%,2,22.20%,2,22.20%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,9,100.00%
전남,기타,1,16.70%,2,33.30%,1,16.70%,  ,0.00%,  ,0.00%,  ,0.00%,1,16.70%,  ,0.00%,1,16.70%,6,100.00%
전남,소계,709,25.40%,814,29.10%,323,11.60%,275,9.80%,232,8.30%,208,7.40%,91,3.30%,102,3.70%,39,1.40%,"2,793",100.00%
경북,유,49,10.50%,60,12.80%,186,39.80%,52,11.10%,13,2.80%,39,8.40%,33,7.10%,31,6.60%,4,0.90%,467,100.00%
경북,초,444,27.30%,413,25.40%,234,14.40%,228,14.00%,80,4.90%,112,6.90%,63,3.90%,37,2.30%,15,0.90%,"1,626",100.00%
경북,중,515,33.20%,467,30.10%,132,8.50%,127,8.20%,119,7.70%,100,6.50%,30,1.90%,31,2.00%,28,1.80%,"1,549",100.00%
경북,고,260,23.90%,374,34.30%,100,9.20%,114,10.50%,119,10.90%,48,4.40%,23,2.10%,26,2.40%,25,2.30%,"1,089",100.00%
경북,특수,4,19.00%,5,23.80%,1,4.80%,5,23.80%,2,9.50%,1,4.80%,3,14.30%,  ,0.00%,  ,0.00%,21,100.00%
경북,기타,9,25.70%,14,40.00%,2,5.70%,2,5.70%,7,20.00%,  ,0.00%,  ,0.00%,1,2.90%,  ,0.00%,35,100.00%
경북,소계,"1,281",26.80%,"1,333",27.80%,655,13.70%,528,11.00%,340,7.10%,300,6.30%,152,3.20%,126,2.60%,72,1.50%,"4,787",100.00%
경남,유,79,11.20%,84,11.90%,300,42.40%,70,9.90%,11,1.60%,47,6.60%,63,8.90%,50,7.10%,3,0.40%,707,100.00%
경남,초,565,25.20%,550,24.50%,376,16.80%,302,13.50%,130,5.80%,133,5.90%,86,3.80%,68,3.00%,32,1.40%,"2,242",100.00%
경남,중,721,30.70%,663,28.30%,247,10.50%,255,10.90%,185,7.90%,114,4.90%,30,1.30%,87,3.70%,43,1.80%,"2,345",100.00%
경남,고,287,23.40%,438,35.70%,113,9.20%,152,12.40%,129,10.50%,43,3.50%,20,1.60%,25,2.00%,20,1.60%,"1,227",100.00%
경남,특수,2,10.50%,5,26.30%,3,15.80%,4,21.10%,2,10.50%,3,15.80%,  ,0.00%,  ,0.00%,  ,0.00%,19,100.00%
경남,기타,8,36.40%,6,27.30%,1,4.50%,3,13.60%,1,4.50%,2,9.10%,  ,0.00%,1,4.50%,  ,0.00%,22,100.00%
경남,소계,"1,662",25.30%,"1,746",26.60%,"1,040",15.80%,786,12.00%,458,7.00%,342,5.20%,199,3.00%,231,3.50%,98,1.50%,"6,562",100.00%
제주,유,21,19.10%,13,11.80%,41,37.30%,14,12.70%,1,0.90%,5,4.50%,11,10.00%,4,3.60%,  ,0.00%,110,100.00%
제주,초,278,29.00%,247,25.80%,143,14.90%,115,12.00%,52,5.40%,57,6.00%,37,3.90%,20,2.10%,8,0.80%,957,100.00%
제주,중,260,35.90%,179,24.70%,69,9.50%,67,9.30%,66,9.10%,42,5.80%,9,1.20%,20,2.80%,12,1.70%,724,100.00%
제주,고,99,27.30%,129,35.60%,29,8.00%,28,7.70%,48,13.30%,12,3.30%,5,1.40%,8,2.20%,4,1.10%,362,100.00%
제주,특수,2,20.00%,5,50.00%,1,10.00%,1,10.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,1,10.00%,10,100.00%
제주,기타,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.00%
제주,소계,660,30.50%,573,26.50%,283,13.10%,225,10.40%,167,7.70%,116,5.40%,62,2.90%,52,2.40%,25,1.20%,"2,163",100.00%
"* 복합부위: 사고부위가 2개이상 선택된 경우(20년도 통합정보시스템으로 개편됨에 따라 사고부위의 다중선택 가능)
* 기타: 신경계, 내장기관, 기타 등 포함",,,,,,,,,,,,,,,,,,,,,
