 ◦ 2020년 학교안전사고 발생현황(장소),,,,,,,,,,,,,
,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",부속시설,,운동장,,교실,,통로,,교외활동,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
강원,소계,711,34.20%,718,34.60%,347,16.70%,218,10.50%,83,4.00%,"2,077",100.00%
충북,유,32,21.30%,43,28.70%,64,42.70%,9,6.00%,2,1.30%,150,100.00%
충북,초,164,39.40%,106,25.50%,58,13.90%,73,17.50%,15,3.60%,416,100.00%
충북,중,174,41.00%,134,31.60%,46,10.80%,52,12.30%,18,4.20%,424,100.00%
충북,고,131,37.60%,104,29.90%,51,14.70%,37,10.60%,25,7.20%,348,100.00%
충북,특수,5,35.70%,5,35.70%,2,14.30%,2,14.30%,  ,  ,14,100.00%
충북,기타,3,42.90%,3,42.90%,  ,  ,  ,  ,1,14.30%,7,100.00%
충북,소계,509,37.50%,395,29.10%,221,16.30%,173,12.70%,61,4.50%,"1,359",100.00%
충남,유,54,20.90%,41,15.90%,129,50.00%,22,8.50%,12,4.70%,258,100.00%
충남,초,297,39.90%,172,23.10%,138,18.50%,120,16.10%,18,2.40%,745,100.00%
충남,중,247,36.60%,252,37.40%,68,10.10%,80,11.90%,27,4.00%,674,100.00%
충남,고,229,42.50%,184,34.10%,56,10.40%,46,8.50%,24,4.50%,539,100.00%
충남,특수,1,14.30%,1,14.30%,2,28.60%,3,42.90%,  ,  ,7,100.00%
충남,기타,4,28.60%,4,28.60%,3,21.40%,1,7.10%,2,14.30%,14,100.00%
충남,소계,832,37.20%,654,29.20%,396,17.70%,272,12.20%,83,3.70%,"2,237",100.00%
전북,유,42,19.20%,42,19.20%,110,50.20%,18,8.20%,7,3.20%,219,100.00%
전북,초,346,38.00%,185,20.30%,156,17.10%,205,22.50%,18,2.00%,910,100.00%
전북,중,261,37.50%,222,31.90%,80,11.50%,102,14.70%,31,4.50%,696,100.00%
전북,고,329,40.60%,259,32.00%,85,10.50%,83,10.20%,54,6.70%,810,100.00%
전북,특수,7,50.00%,1,7.10%,4,28.60%,2,14.30%,  ,  ,14,100.00%
전북,기타,  ,  ,  ,0.00%,1,25.00%,  ,  ,3,75.00%,4,100.00%
전북,소계,985,37.10%,709,26.70%,436,16.40%,410,15.50%,113,4.30%,"2,653",100.00%
전남,유,25,20.30%,25,20.30%,60,48.80%,9,7.30%,4,3.30%,123,100.00%
